f_date,Rin,Rli,p,Ta,u,ea,t,year
20060616062959,16.868478,296.67133,1013,10.216897,1.7321379,11.145857,167.27083,2006
20060616065959,35.818491,296.75119,1013,10.265,1.7573,11.10258,167.29166,2006
20060616073000,58.969466,297.14122,1013,10.419032,1.4123548,11.176832,167.3125,2006
20060616075959,83.78647,299.44993,1013,10.474828,1.2275862,11.293102,167.33333,2006
20060616082959,102.67985,301.45389,1013,10.860333,0.8419,11.521376,167.35416,2006
20060616090000,184.64241,303.05354,1013,11.159032,1.3605806,11.452971,167.375,2006
20060616103000,290.18387,294.33387,1013,12.870323,1.1177419,10.699753,167.4375,2006
20060616105959,279.83147,293.90296,1013,12.83,1.7516552,9.7202684,167.45833,2006
20060616112959,493.00062,294.96559,1013,13.552,1.6841333,10.055405,167.47916,2006
20060616120000,593.82107,289.76974,1013,14.414839,1.875129,9.800025,167.5,2006
20060616122959,744.0488,286.90339,1013,14.993103,2.1966207,9.3231555,167.52083,2006
20060616125959,394.61728,295.51416,1013,15.008333,1.9581667,9.2199207,167.54166,2006
20060616133000,432.68656,296.11562,1013,14.433226,2.1623226,9.9453123,167.5625,2006
20060616135959,654.28359,283.63017,1013,16.281034,1.4532759,9.6292036,167.58333,2006
20060616142959,218.22316,301.21921,1013,15.071333,2.1128667,10.082486,167.60416,2006
20060616150000,286.47325,300.8213,1013,14.982258,2.5167419,10.12306,167.625,2006
20060616152959,278.9358,302.41843,1013,15.339655,1.8606552,10.53622,167.64583,2006
20060616155959,415.23397,290.16827,1012.8,15.244667,2.7751667,10.455382,167.66666,2006
20060616163000,602.07703,255.57323,1012.8065,16.125484,3.0340645,10.282118,167.6875,2006
20060616165959,242.9846,284.96938,1013,15.462759,1.810069,10.860683,167.70833,2006
20060616172959,120.3964,301.52484,1012.2333,14.736333,1.4277333,10.81675,167.72916,2006
20060616180000,254.1172,279.47976,1012,15.04129,1.9686774,10.905427,167.75,2006
20060616182959,257.97858,269.49397,1012,15.985172,1.4233448,11.060847,167.77083,2006
20060616185959,98.095286,291.95786,1012,14.985,1.6268333,11.076891,167.79166,2006
20060616193000,44.786921,298.08994,1012,14.27129,1.7046774,11.152278,167.8125,2006
20060616195959,20.936684,299.02101,1012,13.868621,1.4438276,11.101172,167.83333,2006
20060616202959,9.9416785,297.04008,1012,13.446333,1.2030333,11.236989,167.85416,2006
20060616210000,1.6419309,297.50469,1013,13.100323,1.2844194,11.615491,167.875,2006
20060616212959,0,299.23165,1013,12.811034,1.4573103,11.799028,167.89583,2006
20060616215959,0,299.88397,1013,12.661667,1.7574333,11.869843,167.91666,2006
20060616223000,0,285.37955,1013,12.423226,1.5251613,11.907912,167.9375,2006
20060616225959,0,299.17406,1013,12.283793,1.3672069,11.831784,167.95833,2006
20060616232959,0,300.37769,1013,12.227333,1.0392667,11.872707,167.97916,2006
20060617000000,0,299.63792,1013,12.302258,1.3127419,11.966083,168,2006
20060617002959,0,295.90571,1013,12.314828,1.3035862,11.831396,168.02083,2006
20060617005959,0,302.14546,1013,12.242333,1.1689,11.837425,168.04166,2006
20060617013000,0,300.81131,1013,12.113548,1.3329032,11.84392,168.0625,2006
20060617015959,0,301.0127,1013,12.131724,1.2077931,11.802024,168.08333,2006
20060617022959,0,302.86818,1013,12.12,1.3422,11.610013,168.10416,2006
20060617030000,0,303.58662,1013,12.040323,1.4166452,11.514874,168.125,2006
20060617032959,0,302.42204,1013,12,1.342,11.411088,168.14583,2006
20060617035959,0,280.04901,1013,11.859667,1.185,11.33358,168.16666,2006
20060617043000,4.4474763,284.74572,1013,11.815806,1.5237742,11.159503,168.1875,2006
20060617045959,13.972381,271.37595,1013,11.601034,1.722,11.195312,168.20833,2006
20060617052959,26.566368,246.60143,1013,11.401,1.5753667,11.304958,168.22916,2006
20060617060000,105.26772,241.39278,1013.2258,11.717742,1.1833548,11.422063,168.25,2006
20060617062959,97.203941,252.6464,1013,12.56931,1.6187931,11.586619,168.27083,2006
20060617065959,144.63257,252.61735,1013,13.323333,1.9328,11.559851,168.29166,2006
20060617073000,250.25854,257.36938,1013,13.723226,2.3526452,11.344957,168.3125,2006
20060617075959,435.61327,256.33899,1013,14.716897,2.3990345,11.063357,168.33333,2006
20060617082959,499.84898,278.99144,1013.7333,15.614333,1.9292,11.296258,168.35416,2006
20060617090000,600.76036,261.42334,1013.1613,16.386129,1.7314839,11.337995,168.375,2006
20060617092959,712.44797,262.90187,1013.4828,17.40069,1.7237586,11.420728,168.39583,2006
20060617095959,782.52615,262.60395,1014,17.587,1.7417667,10.805554,168.41666,2006
20060617103000,846.85785,267.28222,1014,18.515484,1.5271935,10.804327,168.4375,2006
20060617105959,905.53121,268.06224,1014,18.883793,1.8383793,10.243264,168.45833,2006
20060617112959,942.88652,271.24982,1014,19.579333,1.6507,10.402518,168.47916,2006
20060617120000,958.20776,273.42172,1014,20.267742,2.0437419,10.36848,168.5,2006
20060617122959,961.42612,274.77697,1014,20.298276,2.1990345,10.461936,168.52083,2006
20060617125959,957.50113,276.40483,1014,20.606,2.3364333,10.803772,168.54166,2006
20060617133000,939.08771,279.08759,1013.4839,20.792258,1.8036129,11.046945,168.5625,2006
20060617135959,910.21157,278.35791,1013,21.151724,2.2238966,10.884439,168.58333,2006
20060617142959,867.33972000000006,279.58535,1013,21.832,2.1792333,10.81575,168.60416,2006
20060617150000,817.34303,278.43075,1013,21.679677,2.1733871,11.013435,168.625,2006
20060617152959,758.04946,277.21306,1013,22.2,1.9194828,10.709433,168.64583,2006
20060617155959,685.47082,279.15477,1013,22.613333,1.5687333,10.39598,168.66666,2006
20060617163000,586.37149,278.16543,1012.4516,22.672903,1.6650645,10.425002,168.6875,2006
20060617165959,524.72862,278.28767,1012,22.92931,1.4884138,10.903176,168.70833,2006
20060617172959,444.59664,274.63754,1012,22.782333,2.1374,11.582992,168.72916,2006
20060617180000,356.75127,274.06826,1012,22.417742,1.8549677,12.032756,168.75,2006
20060617182959,271.16102,271.87807,1012,21.856897,2.263931,12.118245,168.77083,2006
20060617185959,190.03225,271.07008,1012,21.397,2.1270333,13.003955,168.79166,2006
20060617193000,117.55527,268.50262,1012,20.215806,2.0684516,13.279665,168.8125,2006
20060617195959,60.752716,266.87998,1012,19.547586,1.5075172,13.380892,168.83333,2006
20060617202959,20.599766,265.86226,1012,18.025333,1.5345,13.438063,168.85416,2006
20060617210000,0,264.29056,1012,16.671935,1.9360323,13.375102,168.875,2006
20060617212959,0,263.58505,1012,15.882069,1.7651379,13.350361,168.89583,2006
20060617215959,0,263.27086,1012,15.559333,1.5801333,13.338422,168.91666,2006
20060617223000,0,262.93044,1012,14.571935,1.2058065,13.228091,168.9375,2006
20060617225959,0,263.78293,1012.6552,15.138621,1.4687586,13.01575,168.95833,2006
20060617232959,0,264.69005,1012.7,15.237,1.3891,12.868772,168.97916,2006
20060618000000,0,264.89451,1012,15.044194,1.576871,12.822091,169,2006
20060618002959,0,264.96765,1012,15.115862,1.9678276,12.964187,169.02083,2006
20060618005959,0,264.49101,1012,15.130333,1.8620667,12.991133,169.04166,2006
20060618013000,0,264.55694,1012,15.008387,2.0104194,12.973174,169.0625,2006
20060618015959,0,264.10157,1011.1379,14.815517,2.352,12.91644,169.08333,2006
20060618022959,0,263.25019,1011,14.451667,2.4928,12.860856,169.10416,2006
20060618030000,0,263.65778,1011,14.285484,2.6200968,12.859635,169.125,2006
20060618032959,0,264.16436,1011,14.065172,2.4295517,12.821338,169.14583,2006
20060618035959,0,265.30133,1011,14.070667,2.4570333,12.734905,169.16666,2006
20060618043000,9.5528778,265.62011,1010.7097,13.889355,2.8256129,12.533249,169.1875,2006
20060618045959,30.487643,264.99321,1010,14.321379,2.9984483,12.203007,169.20833,2006
20060618052959,56.925374,266.13892,1010,14.880333,2.6618667,11.962523,169.22916,2006
20060618060000,128.18312,267.68139,1010,15.746774,2.7812903,11.965436,169.25,2006
20060618062959,115.08627,274.45222,1010,16.612759,2.4302759,12.22502,169.27083,2006
20060618065959,152.01799,279.14648999999997,1010,16.802,2.3931667,12.51155,169.29166,2006
20060618073000,182.50362,284.39828,1010,17.498065,2.4907742,13.169228,169.3125,2006
20060618075959,262.08652,288.73995,1010,18.054138,2.3316207,13.873416,169.33333,2006
20060618082959,239.99535,294.95207,1010,18.821667,2.1792,14.434396,169.35416,2006
20060618090000,264.39226,296.98575,1010,19.286774,2.0353548,14.950576,169.375,2006
20060618092959,388.25412,298.71823,1010,20.362414,2.2752069,15.271941,169.39583,2006
20060618095959,479.21927,295.41069,1009.9333,21.579667,1.9612667,15.255885,169.41666,2006
20060618103000,714.89166,305.39614,1009,22.667742,2.4392581,15.084471,169.4375,2006
20060618105959,399.58463,311.40577,1009,22.942759,2.6184138,14.598833,169.45833,2006
20060618112959,565.37387,310.14988,1009,23.816,2.4085667,14.725972,169.47916,2006
20060618120000,765.41334,306.10969,1009,24.100968,3.5921613,14.07031,169.5,2006
20060618122959,892.39927,305.94764,1008.8276,25.093103,3.3787931,13.595897,169.52083,2006
20060618125959,875.99782,306.87,1008,25.495333,3.5969333,13.79148,169.54166,2006
20060618133000,874.4827,310.05224,1008,25.941613,3.053871,13.876749,169.5625,2006
20060618135959,661.29402,311.18702,1007.9655,25.915517,3.5377241,14.19042,169.58333,2006
20060618142959,746.62759,314.68032,1007.0333,26.635333,3.2946667,14.684572,169.60416,2006
20060618150000,624.49191,314.23172,1007,26.862258,2.8473226,14.648851,169.625,2006
20060618152959,641.66683,311.74018,1007,26.94931,4.1716207,13.56261,169.64583,2006
20060618155959,684.5985,309.48071,1006.9333,27.261,3.8168333,13.618286,169.66666,2006
20060618163000,578.86207,309.90688,1006,27.789355,3.1122903,14.03619,169.6875,2006
20060618165959,476.35932,310.24428,1006,27.518276,3.5105517,14.09659,169.70833,2006
20060618172959,343.30014,309.51772,1006,27.465333,2.6569333,14.00403,169.72916,2006
20060618180000,285.82752,309.81238,1005.0968,27.565484,2.5136774,14.003888,169.75,2006
20060618182959,163.99769,309.23426,1005,27.007931,2.3589655,13.823069,169.77083,2006
20060618185959,181.21466,313.1557,1005,27.216,0.90553333,14.314881,169.79166,2006
20060618193000,70.484339,303.65826,1005,26.444516,2.0096774,15.350458,169.8125,2006
20060618195959,24.794106,295.85712,1005,23.203103,2.7272414,17.09782,169.83333,2006
20060618202959,12.247434,295.51274,1005.4,22.234,2.4668667,17.514325,169.85416,2006
20060618210000,0,295.05557,1006,21.374194,1.6709355,17.740464,169.875,2006
20060618212959,0,304.85149,1006,20.593793,1.8245862,17.27983,169.89583,2006
20060618215959,0,299.69175,1006,20.316667,1.7105667,17.179147,169.91666,2006
20060618223000,0,298.41364,1006,20.012258,1.814871,16.795746,169.9375,2006
20060618225959,0,298.36501,1006,20.491724,1.6377241,16.374506,169.95833,2006
20060618232959,0,300.24979,1005.2,20.491333,1.5722,16.01496,169.97916,2006
20060619000000,0,305.08207,1005,20.380645,1.7535161,15.623094,170,2006
20060619002959,0,308.26321,1005,20.852414,1.6555172,15.50286,170.02083,2006
20060619005959,0,289.43046,1005,19.372333,2.0767333,16.326713,170.04166,2006
20060619013000,0,286.12632,1005,18.279677,2.8002258,16.14596,170.0625,2006
20060619015959,0,285.58045,1004.9655,18.547931,2.6105172,15.771104,170.08333,2006
20060619022959,0,285.87094,1004,18.768667,2.7209667,15.726151,170.10416,2006
20060619030000,0,285.65956,1004,18.345484,2.732,15.966074,170.125,2006
20060619032959,0,285.97179,1004,18.232759,2.881069,15.690361,170.14583,2006
20060619035959,0,282.56003,1004,18.149333,3.2101,15.564037,170.16666,2006
20060619043000,6.3056496,280.86785,1004,17.866774,3.551,16.166356,170.1875,2006
20060619045959,24.014271,280.04037,1003.7241,17.432069,3.6081034,16.870502,170.20833,2006
20060619052959,52.202479,281.10906,1003,17.817667,3.5970667,17.434934,170.22916,2006
20060619060000,102.47027,282.71044,1003,18.477742,2.9833548,17.811722,170.25,2006
20060619062959,99.262289,286.55642,1003,19.116897,3.4234483,18.279897,170.27083,2006
20060619065959,138.99504,292.18182,1003,20.690667,2.8954333,18.637799,170.29166,2006
20060619073000,221.08707,297.67517,1003,21.581935,3.6953871,19.333163,170.3125,2006
20060619075959,60.264814,314.84137,1003.2759,21.065862,4.3425172,19.562866,170.33333,2006
20060619082959,228.1484,319.39768,1003.9,21.101,3.876,19.514529,170.35416,2006
20060619090000,285.16918,327.36551,1004,22.209355,3.9753548,20.041385,170.375,2006
20060619092959,97.582411,343.59555,1004,22.12,4.0583103,20.203215,170.39583,2006
20060619095959,118.11958,334.42111,1004,21.563,3.0443,20.174867,170.41666,2006
20060619103000,283.23198,335.71601,1004.9032,20.731935,2.8757419,20.544927,170.4375,2006
20060619105959,372.98741,327.95727,1005,21.313793,3.5972759,19.30749,170.45833,2006
20060619112959,769.26234,314.07155,1005,21.697667,3.3305667,18.84841,170.47916,2006
20060619120000,645.77596,325.04202,1005,22.569355,4.1483548,13.490952,170.5,2006
20060619122959,741.99819,317.75378,1005,23.051034,3.5932414,13.085897,170.52083,2006
20060619125959,492.77278,332.66708,1005,22.255,3.8244667,11.862565,170.54166,2006
20060619133000,734.4968,309.76716,1005,23.092258,2.8527742,12.902056,170.5625,2006
20060619135959,393.56077,332.91908,1005.5172,22.549655,4.0527241,13.798954,170.58333,2006
20060619142959,383.49846,335.34547,1006,21.938667,3.8457,14.114987,170.60416,2006
20060619150000,727.20787,299.19165,1006,22.674516,3.9680323,13.212287,170.625,2006
20060619152959,722.30029,293.23926,1006,22.932759,3.9499655,13.696894,170.64583,2006
20060619155959,673.03701,297.01921,1006,23.044,3.1423333,14.340702,170.66666,2006
20060619163000,493.17145,296.31524,1006,22.369032,3.2659677,14.275173,170.6875,2006
20060619165959,463.68868,297.17417,1006,22.508621,2.9714828,14.710383,170.70833,2006
20060619172959,418.35219,285.57038,1006,22.389333,3.2032667,14.478231,170.72916,2006
20060619180000,357.23951,282.17141,1006,22.317742,2.5967419,14.649046,170.75,2006
20060619182959,270.3529,276.74867,1006,21.799655,2.9801034,13.518555,170.77083,2006
20060619185959,144.83503,273.06791,1006.3,21.147333,2.5669333,13.397074,170.79166,2006
20060619193000,30.404354,274.27409,1007,19.677419,2.194871,13.849083,170.8125,2006
20060619195959,29.700737,286.69952,1007,19.047931,2.1688621,14.11601,170.83333,2006
20060619202959,13.515423,298.96109,1007,18.721667,2.3147333,14.261342,170.85416,2006
20060619210000,5.9805142,293.79247,1007.7097,18.251935,2.0859677,14.352165,170.875,2006
20060619212959,0,289.50997,1008,17.825517,2.0218621,14.517871,170.89583,2006
20060619215959,0,274.10356,1008,17.390667,2.6625,14.603803,170.91666,2006
20060619223000,0,281.9214,1008,17.284516,2.5710323,14.621357,170.9375,2006
20060619225959,0,310.93651,1008,17.045517,2.3682759,14.655502,170.95833,2006
20060619232959,0,301.4173,1008,17.227667,2.8266667,14.456147,170.97916,2006
20060620000000,0,266.59377,1008,16.755484,1.9824194,14.300152,171,2006
20060620002959,0,265.67561,1008,16.061379,2.3443103,14.226135,171.02083,2006
20060620005959,0,265.84288,1008,15.771333,2.6032667,14.205964,171.04166,2006
20060620013000,0,261.6646,1008,15.346774,2.2716774,14.31711,171.0625,2006
20060620015959,0,265.54375,1008,15.126552,2.4474138,14.486139,171.08333,2006
20060620022959,0,278.42725,1008,15.169667,2.5668667,14.661026,171.10416,2006
20060620030000,0,298.99594,1008,15.263548,2.6709677,14.843121,171.125,2006
20060620032959,0,314.28186,1008,15.606552,2.6966552,15.001005,171.14583,2006
20060620035959,0,315.81891,1008,15.962,2.8902667,15.264514,171.16666,2006
20060620043000,2.6671061,312.31724,1008,16.286452,2.6492903,15.417749,171.1875,2006
20060620045959,9.1592901,312.05375,1008,16.367241,2.4387931,15.489557,171.20833,2006
20060620052959,30.633396,307.56654,1008,16.466667,2.5082667,15.451529,171.22916,2006
20060620060000,41.562025,312.05557,1008,16.724839,2.6253548,14.780081,171.25,2006
20060620062959,58.083902,314.40271,1008,16.876897,2.7729655,14.522834,171.27083,2006
20060620065959,105.29518,308.4366,1008,17.056,3.1695333,14.803936,171.29166,2006
20060620073000,175.62732,295.15276,1008,17.452903,4.0144839,14.433748,171.3125,2006
20060620075959,372.00419,284.83635,1008,17.993793,3.5186897,14.127641,171.33333,2006
20060620082959,569.59551,269.70047,1008,18.530667,4.8894,13.654746,171.35416,2006
20060620090000,608.91237,273.72063000000003,1008.0323,19.236452,4.3893871,13.585728,171.375,2006
20060620092959,630.73028,291.85531,1009,20.018621,3.768,13.687465,171.39583,2006
20060620095959,671.83268,282.52054,1008.9333,19.724333,4.746,13.285312,171.41666,2006
20060620103000,583.44521,312.42036,1009,20.145161,4.9521935,13.428114,171.4375,2006
20060620105959,509.72454,316.40984,1009,19.896207,4.0393103,13.637492,171.45833,2006
20060620112959,301.2693,320.59135,1009,19.3,4.8801,13.456324,171.47916,2006
20060620120000,554.40603,312.92302,1009,19.712581,4.9819677,13.589437,171.5,2006
20060620122959,393.38905,317.13678,1009,20.146552,4.4613793,13.628373,171.52083,2006
20060620125959,292.89763,323.78148,1009,19.926,3.2598333,13.698304,171.54166,2006
20060620133000,455.50148,316.27649,1009,20.394516,2.9568065,13.889098,171.5625,2006
20060620135959,670.51332,315.62868,1009,21.227241,2.5537241,13.900043,171.58333,2006
20060620142959,501.91261,312.33719,1009,21.030333,2.9079,13.928122,171.60416,2006
20060620150000,511.01579,310.00487,1009,20.959032,3.1423871,14.144774,171.625,2006
20060620152959,636.90566,298.46402,1008.8966,21.428966,3.5039655,13.949855,171.64583,2006
20060620155959,394.61728,307.46167,1008.1,21.085333,3.5538667,13.950556,171.66666,2006
20060620163000,459.18689,307.5343,1008,21.083871,3.9974839,13.952151,171.6875,2006
20060620165959,358.67359,299.84195,1008,20.984483,3.9271724,13.871815,171.70833,2006
20060620172959,440.50195,283.09079,1007.0667,21.393333,3.3218333,13.833197,171.72916,2006
20060620180000,315.13444,281.03032,1007,21.102258,3.5585161,13.747253,171.75,2006
